time,open,high,low,close,Volume,Volume MA,ATR
1741163160,2212.71,2218.18,2209.13,2215.29,30276.962,34655.413931034505,17.78655497705976
1741164540,2215.29,2235.79,2210.9,2233.75,58012.001,35383.09100000002,18.29394390726977
1741165920,2233.75,2261.65,2232.68,2255.61,116247.872,38326.103620689675,19.056519342464806
1741167300,2255.6,2255.6,2233.29,2238.27,81327.128,40260.42748275864,19.28962510371733
1741168680,2238.34,2243.5,2231.47,2236.16,47981.461,40134.887275862086,18.771080453451823
1741170060,2236.15,2272.65,2234,2253.37,154141.786,44518.178068965535,20.19100327820527
1741171440,2253.01,2253.01,2226.13,2232.43,114461.893,48078.20272413795,20.694503044047735
1741172820,2232.22,2238.27,2213.73,2220.58,58567.18,48637.47848275863,20.969181398044324
1741174200,2220.25,2231.36,2217.83,2220.94,52273.552,49239.18824137932,20.437811298184027
1741175580,2220.87,2229.29,2208.45,2223.49,79654.83,50780.876517241384,20.466539062599463
1741176960,2223.5,2232,2218.13,2223.82,40451.162,50872.49613793104,19.995357700985206
1741178340,2223.82,2227.91,2209.25,2218.25,46805.562,50476.87731034484,19.89997500805768
1741179720,2218.1,2223.18,2200.27,2206.23,88419.979,52279.75396551725,20.11497679319641
1741181100,2206.22,2215.54,2192.19,2199.31,74406.954,53248.2035862069,20.346049879396656
1741182480,2199.41,2206.38,2191.36,2193.6,55955.083,53908.391310344836,19.965617745154038
1741183860,2193.6,2204,2187.27,2192.8,64258.095,55280.290551724145,19.73450219192875
1741185240,2193.5,2200.81,2171.58,2173.24,171178.49,59949.02741379311,20.412752035362413
1741186620,2173.58,2204.06,2165.66,2178.05,145002.098,63087.92879310345,21.697555461407962
1741188000,2177.81,2195,2172.26,2184,94577.357,65444.2557586207,21.77201578559309
1741189380,2184.12,2192.25,2179.01,2188.57,44778.983,66409.48186206898,21.162586086622138
1741190760,2188.44,2190.73,2161.53,2166.57,106217.354,69283.93179310345,21.736687080434827
1741192140,2166.56,2177.79,2160.47,2173.5,54731.945,70612.06986206897,21.421209431832352
1741193520,2173.35,2204.98,2170.86,2198.57,89856.498,73004.10686206896,22.32826590098718
1741194900,2198.73,2219.54,2196.16,2203.73,88348.736,75400.05072413792,22.403389765202387
1741196280,2203.5,2204.14,2181.1,2190.22,77366.72,77402.2939310345,22.448861924830787
1741197660,2190.08,2199.8,2174.43,2192.48,68927.6,77382.5974137931,22.657514644485754
1741199040,2192.46,2194.28,2183.01,2190.3,28803.866,77211.97603448277,21.8441207413082
1741200420,2190.68,2218.67,2190.11,2216.94,55998.664,77474.48424137931,22.323826402643324
1741201800,2216.87,2221.89,2208.1,2213.11,35945.728,76723.29444827588,21.714267373883082
1741203180,2212.92,2220.7,2206.02,2220.18,22743.323,76463.51379310346,21.211819704319993
1741204560,2220.18,2227.62,2214.86,2215.75,32581.881,75586.61310344828,20.608118296868547
1741205940,2215.76,2231.01,2212.69,2224.65,33645.411,72738.25237931035,20.444681275663662
1741207320,2224.65,2234.19,2222.09,2225.3,28963.493,70932.60979310345,19.84863261311625
1741208700,2225.33,2240.51,2221.75,2226.5,36822.877,70547.83103448278,19.77087314075082
1741210080,2226.5,2231,2217.88,2230.25,26708.497,66153.57968965518,19.295810773554326
1741211460,2230.11,2239.05,2226.5,2226.87,29919.456,63238.32324137932,18.813967146871885
